id,org_juridica,categoria,fecha_matricula,razon_social,tipo_identificacion,numero_identificacion,desc_tamano_empresa,departamento,municipio,direccion_comercial,NumeroCelular,correo_comercial,rep_legal
1,Ltda,Grande,2010-10-13,Empresa 1 SA,NIT,900000001,Pequeña,Santander,Bucaramanga,Calle 1 #1-10,300000001,empresa1@mail.com,Persona 1
2,Ltda,Grande,2014-03-03,Empresa 2 Ltda,NIT,900000002,Micro,Antioquia,Medellín,Calle 2 #2-20,300000002,empresa2@mail.com,Persona 2
3,SAS,Micro,2011-02-12,Empresa 3 Ltda,NIT,900000003,Grande,Valle,Buenaventura,Calle 3 #3-30,300000003,empresa3@mail.com,Persona 3
4,SAS,Grande,2010-07-08,Empresa 4 SA,NIT,900000004,Micro,Santander,Bucaramanga,Calle 4 #4-40,300000004,empresa4@mail.com,Persona 4
5,Ltda,Pequeña,2018-10-31,Empresa 5 SAS,NIT,900000005,Mediana,Atlántico,Barranquilla,Calle 5 #5-50,300000005,empresa5@mail.com,Persona 5
6,Ltda,Micro,2022-03-08,Empresa 6 SA,NIT,900000006,Micro,Cundinamarca,Soacha,Calle 6 #6-60,300000006,empresa6@mail.com,Persona 6
7,SA,Grande,2011-03-30,Empresa 7 SA,NIT,900000007,Micro,Antioquia,Medellín,Calle 7 #7-70,300000007,empresa7@mail.com,Persona 7
8,SA,Micro,2019-12-18,Empresa 8 SAS,NIT,900000008,Mediana,Atlántico,Soledad,Calle 8 #8-80,300000008,empresa8@mail.com,Persona 8
9,SAS,Pequeña,2022-03-21,Empresa 9 SA,NIT,900000009,Micro,Santander,Bucaramanga,Calle 9 #9-90,300000009,empresa9@mail.com,Persona 9
10,Ltda,Mediana,2019-11-24,Empresa 10 Ltda,NIT,900000010,Pequeña,Antioquia,Bello,Calle 10 #10-100,300000010,empresa10@mail.com,Persona 10
11,Ltda,Mediana,2010-01-26,Empresa 11 Ltda,NIT,900000011,Pequeña,Antioquia,Medellín,Calle 11 #11-110,300000011,empresa11@mail.com,Persona 11
12,SAS,Mediana,2023-02-05,Empresa 12 Ltda,NIT,900000012,Mediana,Santander,Bucaramanga,Calle 12 #12-120,300000012,empresa12@mail.com,Persona 12
13,SAS,Micro,2012-02-15,Empresa 13 SA,NIT,900000013,Mediana,Cundinamarca,Chía,Calle 13 #13-130,300000013,empresa13@mail.com,Persona 13
14,Ltda,Pequeña,2018-07-24,Empresa 14 Ltda,NIT,900000014,Mediana,Atlántico,Soledad,Calle 14 #14-140,300000014,empresa14@mail.com,Persona 14
15,SAS,Mediana,2014-07-18,Empresa 15 Ltda,NIT,900000015,Grande,Valle,Buenaventura,Calle 15 #15-150,300000015,empresa15@mail.com,Persona 15
